"","Country","date","confirmed","recovered","deaths"
"170","Timor-Leste",2020-01-22,0,0,0
"171","Togo",2020-01-22,0,0,0
"172","Trinidad and Tobago",2020-01-22,0,0,0
"173","Tunisia",2020-01-22,0,0,0
"174","Turkey",2020-01-22,0,0,0
"175","Uganda",2020-01-22,0,0,0
"176","Ukraine",2020-01-22,0,0,0
"177","United Arab Emirates",2020-01-22,0,0,0
"178","United Kingdom",2020-01-22,0,0,0
"179","Uruguay",2020-01-22,0,0,0
"180","US",2020-01-22,1,0,0
"181","Uzbekistan",2020-01-22,0,0,0
"182","Venezuela",2020-01-22,0,0,0
"183","Vietnam",2020-01-22,0,0,0
"184","West Bank and Gaza",2020-01-22,0,0,0
"185","Western Sahara",2020-01-22,0,0,0
"186","Yemen",2020-01-22,0,0,0
"187","Zambia",2020-01-22,0,0,0
"188","Zimbabwe",2020-01-22,0,0,0
"189","Afghanistan",2020-01-23,0,0,0
"190","Albania",2020-01-23,0,0,0
"191","Algeria",2020-01-23,0,0,0
"192","Andorra",2020-01-23,0,0,0
"193","Angola",2020-01-23,0,0,0
"194","Antigua and Barbuda",2020-01-23,0,0,0
"195","Argentina",2020-01-23,0,0,0
"196","Armenia",2020-01-23,0,0,0
"197","Australia",2020-01-23,0,0,0
"198","Austria",2020-01-23,0,0,0
"199","Azerbaijan",2020-01-23,0,0,0
"200","Bahamas",2020-01-23,0,0,0
"201","Bahrain",2020-01-23,0,0,0
"202","Bangladesh",2020-01-23,0,0,0
"203","Barbados",2020-01-23,0,0,0
"204","Belarus",2020-01-23,0,0,0
"205","Belgium",2020-01-23,0,0,0
"206","Belize",2020-01-23,0,0,0
"207","Benin",2020-01-23,0,0,0
"208","Bhutan",2020-01-23,0,0,0
"209","Bolivia",2020-01-23,0,0,0
"210","Bosnia and Herzegovina",2020-01-23,0,0,0
"211","Botswana",2020-01-23,0,0,0
"212","Brazil",2020-01-23,0,0,0
"213","Brunei",2020-01-23,0,0,0
"214","Bulgaria",2020-01-23,0,0,0
"215","Burkina Faso",2020-01-23,0,0,0
"216","Burma",2020-01-23,0,0,0
"217","Burundi",2020-01-23,0,0,0
"218","Cabo Verde",2020-01-23,0,0,0
"219","Cambodia",2020-01-23,0,0,0
"220","Cameroon",2020-01-23,0,0,0
"221","Canada",2020-01-23,0,0,0
"222","Central African Republic",2020-01-23,0,0,0
"223","Chad",2020-01-23,0,0,0
"224","Chile",2020-01-23,0,0,0
"225","China",2020-01-23,643,30,18
"226","Colombia",2020-01-23,0,0,0
"227","Comoros",2020-01-23,0,0,0
"228","Congo (Brazzaville)",2020-01-23,0,0,0
"229","Congo (Kinshasa)",2020-01-23,0,0,0
"230","Costa Rica",2020-01-23,0,0,0
"231","Cote d'Ivoire",2020-01-23,0,0,0
"232","Croatia",2020-01-23,0,0,0
"233","Cuba",2020-01-23,0,0,0
"234","Cyprus",2020-01-23,0,0,0
"235","Czechia",2020-01-23,0,0,0
"236","Denmark",2020-01-23,0,0,0
"237","Diamond Princess",2020-01-23,0,0,0
"238","Djibouti",2020-01-23,0,0,0
"239","Dominica",2020-01-23,0,0,0
"240","Dominican Republic",2020-01-23,0,0,0
"241","Ecuador",2020-01-23,0,0,0
"242","Egypt",2020-01-23,0,0,0
"243","El Salvador",2020-01-23,0,0,0
"244","Equatorial Guinea",2020-01-23,0,0,0
"245","Eritrea",2020-01-23,0,0,0
"246","Estonia",2020-01-23,0,0,0
"247","Eswatini",2020-01-23,0,0,0
"248","Ethiopia",2020-01-23,0,0,0
"249","Fiji",2020-01-23,0,0,0
"250","Finland",2020-01-23,0,0,0
"251","France",2020-01-23,0,0,0
"252","Gabon",2020-01-23,0,0,0
"253","Gambia",2020-01-23,0,0,0
"254","Georgia",2020-01-23,0,0,0
"255","Germany",2020-01-23,0,0,0
"256","Ghana",2020-01-23,0,0,0
"257","Greece",2020-01-23,0,0,0
"258","Grenada",2020-01-23,0,0,0
"259","Guatemala",2020-01-23,0,0,0
"260","Guinea",2020-01-23,0,0,0
"261","Guinea-Bissau",2020-01-23,0,0,0
"262","Guyana",2020-01-23,0,0,0
"263","Haiti",2020-01-23,0,0,0
"264","Holy See",2020-01-23,0,0,0
"265","Honduras",2020-01-23,0,0,0
"266","Hungary",2020-01-23,0,0,0
"267","Iceland",2020-01-23,0,0,0
"268","India",2020-01-23,0,0,0
"269","Indonesia",2020-01-23,0,0,0
"270","Iran",2020-01-23,0,0,0
"271","Iraq",2020-01-23,0,0,0
"272","Ireland",2020-01-23,0,0,0
"273","Israel",2020-01-23,0,0,0
"274","Italy",2020-01-23,0,0,0
"275","Jamaica",2020-01-23,0,0,0
"276","Japan",2020-01-23,2,0,0
"277","Jordan",2020-01-23,0,0,0
"278","Kazakhstan",2020-01-23,0,0,0
"279","Kenya",2020-01-23,0,0,0
"280","Korea, South",2020-01-23,1,0,0
"281","Kosovo",2020-01-23,0,0,0
"282","Kuwait",2020-01-23,0,0,0
"283","Kyrgyzstan",2020-01-23,0,0,0
"284","Laos",2020-01-23,0,0,0
"285","Latvia",2020-01-23,0,0,0
"286","Lebanon",2020-01-23,0,0,0
"287","Lesotho",2020-01-23,0,0,0
"288","Liberia",2020-01-23,0,0,0
"289","Libya",2020-01-23,0,0,0
"290","Liechtenstein",2020-01-23,0,0,0
"291","Lithuania",2020-01-23,0,0,0
"292","Luxembourg",2020-01-23,0,0,0
"293","Madagascar",2020-01-23,0,0,0
"294","Malawi",2020-01-23,0,0,0
"295","Malaysia",2020-01-23,0,0,0
"296","Maldives",2020-01-23,0,0,0
"297","Mali",2020-01-23,0,0,0
"298","Malta",2020-01-23,0,0,0
"299","Mauritania",2020-01-23,0,0,0
"300","Mauritius",2020-01-23,0,0,0
"301","Mexico",2020-01-23,0,0,0
"302","Moldova",2020-01-23,0,0,0
"303","Monaco",2020-01-23,0,0,0
"304","Mongolia",2020-01-23,0,0,0
"305","Montenegro",2020-01-23,0,0,0
"306","Morocco",2020-01-23,0,0,0
"307","Mozambique",2020-01-23,0,0,0
"308","MS Zaandam",2020-01-23,0,0,0
"309","Namibia",2020-01-23,0,0,0
"310","Nepal",2020-01-23,0,0,0
"311","Netherlands",2020-01-23,0,0,0
"312","New Zealand",2020-01-23,0,0,0
"313","Nicaragua",2020-01-23,0,0,0
"314","Niger",2020-01-23,0,0,0
"315","Nigeria",2020-01-23,0,0,0
"316","North Macedonia",2020-01-23,0,0,0
"317","Norway",2020-01-23,0,0,0
"318","Oman",2020-01-23,0,0,0
"319","Pakistan",2020-01-23,0,0,0
"320","Panama",2020-01-23,0,0,0
"321","Papua New Guinea",2020-01-23,0,0,0
"322","Paraguay",2020-01-23,0,0,0
"323","Peru",2020-01-23,0,0,0
"324","Philippines",2020-01-23,0,0,0
"325","Poland",2020-01-23,0,0,0
"326","Portugal",2020-01-23,0,0,0
"327","Qatar",2020-01-23,0,0,0
"328","Romania",2020-01-23,0,0,0
"329","Russia",2020-01-23,0,0,0
"330","Rwanda",2020-01-23,0,0,0
"331","Saint Kitts and Nevis",2020-01-23,0,0,0
"332","Saint Lucia",2020-01-23,0,0,0
"333","Saint Vincent and the Grenadines",2020-01-23,0,0,0
"334","San Marino",2020-01-23,0,0,0
"335","Sao Tome and Principe",2020-01-23,0,0,0
"336","Saudi Arabia",2020-01-23,0,0,0
"337","Senegal",2020-01-23,0,0,0
"338","Serbia",2020-01-23,0,0,0
"339","Seychelles",2020-01-23,0,0,0
"340","Sierra Leone",2020-01-23,0,0,0
"341","Singapore",2020-01-23,1,0,0
"342","Slovakia",2020-01-23,0,0,0
"343","Slovenia",2020-01-23,0,0,0
"344","Somalia",2020-01-23,0,0,0
"345","South Africa",2020-01-23,0,0,0
"346","South Sudan",2020-01-23,0,0,0
"347","Spain",2020-01-23,0,0,0
"348","Sri Lanka",2020-01-23,0,0,0
"349","Sudan",2020-01-23,0,0,0
"350","Suriname",2020-01-23,0,0,0
"351","Sweden",2020-01-23,0,0,0
"352","Switzerland",2020-01-23,0,0,0
"353","Syria",2020-01-23,0,0,0
"354","Taiwan*",2020-01-23,1,0,0
"355","Tajikistan",2020-01-23,0,0,0
"356","Tanzania",2020-01-23,0,0,0
"357","Thailand",2020-01-23,3,0,0
"358","Timor-Leste",2020-01-23,0,0,0
"359","Togo",2020-01-23,0,0,0
"360","Trinidad and Tobago",2020-01-23,0,0,0
"361","Tunisia",2020-01-23,0,0,0
"362","Turkey",2020-01-23,0,0,0
"363","Uganda",2020-01-23,0,0,0
"364","Ukraine",2020-01-23,0,0,0
"365","United Arab Emirates",2020-01-23,0,0,0
"366","United Kingdom",2020-01-23,0,0,0
"367","Uruguay",2020-01-23,0,0,0
"368","US",2020-01-23,1,0,0
"369","Uzbekistan",2020-01-23,0,0,0
"370","Venezuela",2020-01-23,0,0,0
"371","Vietnam",2020-01-23,2,0,0
"372","West Bank and Gaza",2020-01-23,0,0,0
"373","Western Sahara",2020-01-23,0,0,0
"374","Yemen",2020-01-23,0,0,0
"375","Zambia",2020-01-23,0,0,0
"376","Zimbabwe",2020-01-23,0,0,0
"377","Afghanistan",2020-01-24,0,0,0
"378","Albania",2020-01-24,0,0,0
"379","Algeria",2020-01-24,0,0,0
"380","Andorra",2020-01-24,0,0,0
"381","Angola",2020-01-24,0,0,0
"382","Antigua and Barbuda",2020-01-24,0,0,0
"383","Argentina",2020-01-24,0,0,0
"384","Armenia",2020-01-24,0,0,0
"385","Australia",2020-01-24,0,0,0
"386","Austria",2020-01-24,0,0,0
"387","Azerbaijan",2020-01-24,0,0,0
"388","Bahamas",2020-01-24,0,0,0
"389","Bahrain",2020-01-24,0,0,0
"390","Bangladesh",2020-01-24,0,0,0
"391","Barbados",2020-01-24,0,0,0
"392","Belarus",2020-01-24,0,0,0
"393","Belgium",2020-01-24,0,0,0
"394","Belize",2020-01-24,0,0,0
"395","Benin",2020-01-24,0,0,0
"396","Bhutan",2020-01-24,0,0,0
"397","Bolivia",2020-01-24,0,0,0
"398","Bosnia and Herzegovina",2020-01-24,0,0,0
"399","Botswana",2020-01-24,0,0,0
"400","Brazil",2020-01-24,0,0,0
"401","Brunei",2020-01-24,0,0,0
"402","Bulgaria",2020-01-24,0,0,0
"403","Burkina Faso",2020-01-24,0,0,0
"404","Burma",2020-01-24,0,0,0
"405","Burundi",2020-01-24,0,0,0
"406","Cabo Verde",2020-01-24,0,0,0
"407","Cambodia",2020-01-24,0,0,0
"408","Cameroon",2020-01-24,0,0,0
"409","Canada",2020-01-24,0,0,0
"410","Central African Republic",2020-01-24,0,0,0
"411","Chad",2020-01-24,0,0,0
"412","Chile",2020-01-24,0,0,0
"413","China",2020-01-24,920,36,26
"414","Colombia",2020-01-24,0,0,0
"415","Comoros",2020-01-24,0,0,0
"416","Congo (Brazzaville)",2020-01-24,0,0,0
"417","Congo (Kinshasa)",2020-01-24,0,0,0
"418","Costa Rica",2020-01-24,0,0,0
"419","Cote d'Ivoire",2020-01-24,0,0,0
"420","Croatia",2020-01-24,0,0,0
"421","Cuba",2020-01-24,0,0,0
"422","Cyprus",2020-01-24,0,0,0
"423","Czechia",2020-01-24,0,0,0
"424","Denmark",2020-01-24,0,0,0
"425","Diamond Princess",2020-01-24,0,0,0
"426","Djibouti",2020-01-24,0,0,0
"427","Dominica",2020-01-24,0,0,0
"428","Dominican Republic",2020-01-24,0,0,0
"429","Ecuador",2020-01-24,0,0,0
"430","Egypt",2020-01-24,0,0,0
"431","El Salvador",2020-01-24,0,0,0
"432","Equatorial Guinea",2020-01-24,0,0,0
"433","Eritrea",2020-01-24,0,0,0
"434","Estonia",2020-01-24,0,0,0
"435","Eswatini",2020-01-24,0,0,0
"436","Ethiopia",2020-01-24,0,0,0
"437","Fiji",2020-01-24,0,0,0
"438","Finland",2020-01-24,0,0,0
"439","France",2020-01-24,2,0,0
"440","Gabon",2020-01-24,0,0,0
"441","Gambia",2020-01-24,0,0,0
"442","Georgia",2020-01-24,0,0,0
"443","Germany",2020-01-24,0,0,0
"444","Ghana",2020-01-24,0,0,0
"445","Greece",2020-01-24,0,0,0
"446","Grenada",2020-01-24,0,0,0
"447","Guatemala",2020-01-24,0,0,0
"448","Guinea",2020-01-24,0,0,0
"449","Guinea-Bissau",2020-01-24,0,0,0
"450","Guyana",2020-01-24,0,0,0
"451","Haiti",2020-01-24,0,0,0
"452","Holy See",2020-01-24,0,0,0
"453","Honduras",2020-01-24,0,0,0
"454","Hungary",2020-01-24,0,0,0
"455","Iceland",2020-01-24,0,0,0
"456","India",2020-01-24,0,0,0
"457","Indonesia",2020-01-24,0,0,0
"458","Iran",2020-01-24,0,0,0
"459","Iraq",2020-01-24,0,0,0
"460","Ireland",2020-01-24,0,0,0
"461","Israel",2020-01-24,0,0,0
"462","Italy",2020-01-24,0,0,0
"463","Jamaica",2020-01-24,0,0,0
"464","Japan",2020-01-24,2,0,0
"465","Jordan",2020-01-24,0,0,0
"466","Kazakhstan",2020-01-24,0,0,0
"467","Kenya",2020-01-24,0,0,0
"468","Korea, South",2020-01-24,2,0,0
"469","Kosovo",2020-01-24,0,0,0
"470","Kuwait",2020-01-24,0,0,0
"471","Kyrgyzstan",2020-01-24,0,0,0
"472","Laos",2020-01-24,0,0,0
"473","Latvia",2020-01-24,0,0,0
"474","Lebanon",2020-01-24,0,0,0
"475","Lesotho",2020-01-24,0,0,0
"476","Liberia",2020-01-24,0,0,0
"477","Libya",2020-01-24,0,0,0
"478","Liechtenstein",2020-01-24,0,0,0
"479","Lithuania",2020-01-24,0,0,0
"480","Luxembourg",2020-01-24,0,0,0
"481","Madagascar",2020-01-24,0,0,0
"482","Malawi",2020-01-24,0,0,0
"483","Malaysia",2020-01-24,0,0,0
"484","Maldives",2020-01-24,0,0,0
"485","Mali",2020-01-24,0,0,0
"486","Malta",2020-01-24,0,0,0
"487","Mauritania",2020-01-24,0,0,0
"488","Mauritius",2020-01-24,0,0,0
"489","Mexico",2020-01-24,0,0,0
"490","Moldova",2020-01-24,0,0,0
"491","Monaco",2020-01-24,0,0,0
"492","Mongolia",2020-01-24,0,0,0
"493","Montenegro",2020-01-24,0,0,0
"494","Morocco",2020-01-24,0,0,0
"495","Mozambique",2020-01-24,0,0,0
"496","MS Zaandam",2020-01-24,0,0,0
"497","Namibia",2020-01-24,0,0,0
"498","Nepal",2020-01-24,0,0,0
"499","Netherlands",2020-01-24,0,0,0
"500","New Zealand",2020-01-24,0,0,0
"501","Nicaragua",2020-01-24,0,0,0
"502","Niger",2020-01-24,0,0,0
"503","Nigeria",2020-01-24,0,0,0
"504","North Macedonia",2020-01-24,0,0,0
"505","Norway",2020-01-24,0,0,0
"506","Oman",2020-01-24,0,0,0
"507","Pakistan",2020-01-24,0,0,0
"508","Panama",2020-01-24,0,0,0
"509","Papua New Guinea",2020-01-24,0,0,0
"510","Paraguay",2020-01-24,0,0,0
"511","Peru",2020-01-24,0,0,0
"512","Philippines",2020-01-24,0,0,0
"513","Poland",2020-01-24,0,0,0
"514","Portugal",2020-01-24,0,0,0
"515","Qatar",2020-01-24,0,0,0
"516","Romania",2020-01-24,0,0,0
"517","Russia",2020-01-24,0,0,0
"518","Rwanda",2020-01-24,0,0,0
"519","Saint Kitts and Nevis",2020-01-24,0,0,0
"520","Saint Lucia",2020-01-24,0,0,0
"521","Saint Vincent and the Grenadines",2020-01-24,0,0,0
"522","San Marino",2020-01-24,0,0,0
"523","Sao Tome and Principe",2020-01-24,0,0,0
"524","Saudi Arabia",2020-01-24,0,0,0
"525","Senegal",2020-01-24,0,0,0
"526","Serbia",2020-01-24,0,0,0
"527","Seychelles",2020-01-24,0,0,0
"528","Sierra Leone",2020-01-24,0,0,0
"529","Singapore",2020-01-24,3,0,0
"530","Slovakia",2020-01-24,0,0,0
"531","Slovenia",2020-01-24,0,0,0
"532","Somalia",2020-01-24,0,0,0
"533","South Africa",2020-01-24,0,0,0
"534","South Sudan",2020-01-24,0,0,0
"535","Spain",2020-01-24,0,0,0
"536","Sri Lanka",2020-01-24,0,0,0
"537","Sudan",2020-01-24,0,0,0
"538","Suriname",2020-01-24,0,0,0
"539","Sweden",2020-01-24,0,0,0
"540","Switzerland",2020-01-24,0,0,0
"541","Syria",2020-01-24,0,0,0
"542","Taiwan*",2020-01-24,3,0,0
"543","Tajikistan",2020-01-24,0,0,0
"544","Tanzania",2020-01-24,0,0,0
"545","Thailand",2020-01-24,5,0,0
"546","Timor-Leste",2020-01-24,0,0,0
"547","Togo",2020-01-24,0,0,0
"548","Trinidad and Tobago",2020-01-24,0,0,0
"549","Tunisia",2020-01-24,0,0,0
"550","Turkey",2020-01-24,0,0,0
"551","Uganda",2020-01-24,0,0,0
"552","Ukraine",2020-01-24,0,0,0
"553","United Arab Emirates",2020-01-24,0,0,0
"554","United Kingdom",2020-01-24,0,0,0
"555","Uruguay",2020-01-24,0,0,0
"556","US",2020-01-24,2,0,0
"557","Uzbekistan",2020-01-24,0,0,0
"558","Venezuela",2020-01-24,0,0,0
"559","Vietnam",2020-01-24,2,0,0
"560","West Bank and Gaza",2020-01-24,0,0,0
"561","Western Sahara",2020-01-24,0,0,0
"562","Yemen",2020-01-24,0,0,0
"563","Zambia",2020-01-24,0,0,0
"564","Zimbabwe",2020-01-24,0,0,0
"565","Afghanistan",2020-01-25,0,0,0
"566","Albania",2020-01-25,0,0,0
"567","Algeria",2020-01-25,0,0,0
"568","Andorra",2020-01-25,0,0,0
"569","Angola",2020-01-25,0,0,0
"570","Antigua and Barbuda",2020-01-25,0,0,0
"571","Argentina",2020-01-25,0,0,0
"572","Armenia",2020-01-25,0,0,0
"573","Australia",2020-01-25,0,0,0
"574","Austria",2020-01-25,0,0,0
"575","Azerbaijan",2020-01-25,0,0,0
"576","Bahamas",2020-01-25,0,0,0
"577","Bahrain",2020-01-25,0,0,0
"578","Bangladesh",2020-01-25,0,0,0
"579","Barbados",2020-01-25,0,0,0
"580","Belarus",2020-01-25,0,0,0
"581","Belgium",2020-01-25,0,0,0
"582","Belize",2020-01-25,0,0,0
"583","Benin",2020-01-25,0,0,0
"584","Bhutan",2020-01-25,0,0,0
"585","Bolivia",2020-01-25,0,0,0
"586","Bosnia and Herzegovina",2020-01-25,0,0,0
"587","Botswana",2020-01-25,0,0,0
"588","Brazil",2020-01-25,0,0,0
"589","Brunei",2020-01-25,0,0,0
"590","Bulgaria",2020-01-25,0,0,0
"591","Burkina Faso",2020-01-25,0,0,0
"592","Burma",2020-01-25,0,0,0
"593","Burundi",2020-01-25,0,0,0
"594","Cabo Verde",2020-01-25,0,0,0
"595","Cambodia",2020-01-25,0,0,0
"596","Cameroon",2020-01-25,0,0,0
"597","Canada",2020-01-25,0,0,0
"598","Central African Republic",2020-01-25,0,0,0
"599","Chad",2020-01-25,0,0,0
"600","Chile",2020-01-25,0,0,0
"601","China",2020-01-25,1406,39,42
"602","Colombia",2020-01-25,0,0,0
"603","Comoros",2020-01-25,0,0,0
"604","Congo (Brazzaville)",2020-01-25,0,0,0
"605","Congo (Kinshasa)",2020-01-25,0,0,0
"606","Costa Rica",2020-01-25,0,0,0
"607","Cote d'Ivoire",2020-01-25,0,0,0
"608","Croatia",2020-01-25,0,0,0
"609","Cuba",2020-01-25,0,0,0
"610","Cyprus",2020-01-25,0,0,0
"611","Czechia",2020-01-25,0,0,0
"612","Denmark",2020-01-25,0,0,0
"613","Diamond Princess",2020-01-25,0,0,0
"614","Djibouti",2020-01-25,0,0,0
"615","Dominica",2020-01-25,0,0,0
"616","Dominican Republic",2020-01-25,0,0,0
"617","Ecuador",2020-01-25,0,0,0
"618","Egypt",2020-01-25,0,0,0
"619","El Salvador",2020-01-25,0,0,0
"620","Equatorial Guinea",2020-01-25,0,0,0
"621","Eritrea",2020-01-25,0,0,0
"622","Estonia",2020-01-25,0,0,0
"623","Eswatini",2020-01-25,0,0,0
"624","Ethiopia",2020-01-25,0,0,0
"625","Fiji",2020-01-25,0,0,0
"626","Finland",2020-01-25,0,0,0
"627","France",2020-01-25,3,0,0
"628","Gabon",2020-01-25,0,0,0
"629","Gambia",2020-01-25,0,0,0
"630","Georgia",2020-01-25,0,0,0
"631","Germany",2020-01-25,0,0,0
"632","Ghana",2020-01-25,0,0,0
"633","Greece",2020-01-25,0,0,0
"634","Grenada",2020-01-25,0,0,0
"635","Guatemala",2020-01-25,0,0,0
"636","Guinea",2020-01-25,0,0,0
"637","Guinea-Bissau",2020-01-25,0,0,0
